Calendar_Date,Calendar_Year,Calendar_Month,Week_Number,DOW,Slot_01,Qty,,,Row Labels,Sum of Qty,,
05/28/13,2013,05,22,03,12,1,,,,,,
05/24/13,2013,05,21,06,05,1,,,,,,
05/21/13,2013,05,21,03,15,1,,,,,,
05/17/13,2013,05,20,06,15,1,,,,,,
05/14/13,2013,05,20,03,10,1,,,,,,
05/10/13,2013,05,19,06,19,1,,,,,,
05/07/13,2013,05,19,03,06,1,,,,,,
05/03/13,2013,05,18,06,20,1,,,,,,
04/30/13,2013,04,18,03,30,1,,,,,,
04/26/13,2013,04,17,06,42,1,,,,,,
04/23/13,2013,04,17,03,21,1,,,,,,
04/19/13,2013,04,16,06,08,1,,,,,,
04/16/13,2013,04,16,03,05,1,,,,,,
04/12/13,2013,04,15,06,10,1,,,,,,
04/09/13,2013,04,15,03,30,1,,,,,,
04/05/13,2013,04,14,06,15,1,,,,,,
04/02/13,2013,04,14,03,10,1,,,,,,
03/29/13,2013,03,13,06,31,1,,,,,,
03/26/13,2013,03,13,03,33,1,,,,,,
03/22/13,2013,03,12,06,27,1,,,,,,
03/19/13,2013,03,12,03,06,1,,,,,,
03/15/13,2013,03,11,06,08,1,,,,,,
03/12/13,2013,03,11,03,12,1,,,,,,
03/08/13,2013,03,10,06,11,1,,,,,,
03/05/13,2013,03,10,03,20,1,,,,,,
04/12/13,2013,04,15,06,10,1,,,,,,
04/09/13,2013,04,15,03,30,1,,,,,,
04/05/13,2013,04,14,06,15,1,,,,,,
04/02/13,2013,04,14,03,10,1,,,,,,
03/29/13,2013,03,13,06,31,1,,,,,,
03/26/13,2013,03,13,03,33,1,,,,,,
03/22/13,2013,03,12,06,27,1,,,,,,
03/19/13,2013,03,12,03,06,1,,,,,,
03/15/13,2013,03,11,06,08,1,,,,,,
03/12/13,2013,03,11,03,12,1,,,,,,
03/08/13,2013,03,10,06,11,1,,,,,,
03/05/13,2013,03,10,03,20,1,,,,,,
03/01/13,2013,03,09,06,30,1,,,,,,
02/26/13,2013,02,09,03,07,1,,,,,,
02/22/13,2013,02,08,06,13,1,,,,,,
02/19/13,2013,02,08,03,15,1,,,,,,
02/15/13,2013,02,07,06,35,1,,,,,,
02/12/13,2013,02,07,03,22,1,,,,,,
02/08/13,2013,02,06,06,15,1,,,,,,
02/05/13,2013,02,06,03,05,1,,,,,,
02/01/13,2013,02,05,06,30,1,,,,,,
01/29/13,2013,01,05,03,12,1,,,,,,
01/25/13,2013,01,04,06,12,1,,,,,,
01/22/13,2013,01,04,03,11,1,,,,,,
01/18/13,2013,01,03,06,18,1,,,,,,
01/15/13,2013,01,03,03,06,1,,,,,,
01/11/13,2013,01,02,06,29,1,,,,,,
01/08/13,2013,01,02,03,20,1,,,,,,
01/04/13,2013,01,01,06,02,1,,,,,,
01/01/13,2013,01,01,03,11,1,,,,,,
12/28/12,2012,12,52,06,13,1,,,,,,
12/25/12,2012,12,52,03,03,1,,,,,,
12/21/12,2012,12,51,06,18,1,,,,,,
12/18/12,2012,12,51,03,06,1,,,,,,
12/14/12,2012,12,50,06,28,1,,,,,,
12/11/12,2012,12,50,03,44,1,,,,,,
12/07/12,2012,12,49,06,43,1,,,,,,
12/04/12,2012,12,49,03,19,1,,,,,,
11/30/12,2012,11,48,06,22,1,,,,,,
11/27/12,2012,11,48,03,12,1,,,,,,
11/23/12,2012,11,47,06,37,1,,,,,,
11/20/12,2012,11,47,03,13,1,,,,,,
11/16/12,2012,11,46,06,24,1,,,,,,
11/13/12,2012,11,46,03,12,1,,,,,,
11/09/12,2012,11,45,06,22,1,,,,,,
11/06/12,2012,11,45,03,05,1,,,,,,
11/02/12,2012,11,44,06,18,1,,,,,,
10/30/12,2012,10,44,03,12,1,,,,,,
10/26/12,2012,10,43,06,15,1,,,,,,
